dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
visual_genome_m,siglip,ball,0.0,1,ball,2097.0,24.0,0.011445,0.010747,0.604679,0.438013,0.166667,0.021552,0.833333,0.042017,0.466655,0.196694,0.811405
visual_genome_m,siglip,ball,1.0,1,ball,2097.0,32.0,0.01526,0.010747,0.539271,0.445521,0.09375,0.030558,0.90625,0.059123,0.365738,0.257563,0.878375
visual_genome_m,siglip,ball,2.0,1,ball,2097.0,19.0,0.009061,0.010747,0.55714,0.451877,0.105263,0.017782,0.894737,0.034872,0.391951,0.17048,0.869561
visual_genome_m,siglip,ball,3.0,1,ball,2097.0,26.0,0.012399,0.010747,0.45437,0.45437,0.0,0.026887,1.0,0.052367,0.192159,0.330466,0.958047
visual_genome_m,siglip,ball,4.0,1,ball,2097.0,24.0,0.011445,0.010747,0.530029,0.446696,0.083333,0.023207,0.916667,0.045267,0.212012,0.27407,0.90517
visual_genome_m,siglip,ball,5.0,1,ball,2097.0,29.0,0.013829,0.010747,0.476456,0.441973,0.034483,0.029724,0.965517,0.057673,0.282849,0.238876,0.907407
visual_genome_m,siglip,ball,6.0,1,ball,2097.0,29.0,0.013829,0.010747,0.568782,0.430851,0.137931,0.027293,0.862069,0.05291,0.349396,0.274322,0.873091
visual_genome_m,siglip,ball,7.0,1,ball,2097.0,25.0,0.011922,0.010747,0.565946,0.445946,0.12,0.023256,0.88,0.045314,0.418938,0.173657,0.847799
visual_genome_m,siglip,ball,8.0,1,ball,2097.0,24.0,0.011445,0.010747,0.642004,0.433671,0.208333,0.020697,0.791667,0.04034,0.420646,0.226793,0.809977
visual_genome_m,siglip,bed,0.0,1,bed,2097.0,44.0,0.020982,0.00186,0.380906,0.380906,0.0,0.053269,1.0,0.101149,0.090267,0.72285,0.984336
visual_genome_m,siglip,bed,1.0,1,bed,2097.0,40.0,0.019075,0.00186,0.395929,0.370929,0.025,0.048628,0.975,0.092637,0.098614,0.736071,0.9737
visual_genome_m,siglip,bed,2.0,1,bed,2097.0,34.0,0.016214,0.00186,0.360155,0.360155,0.0,0.043758,1.0,0.083847,0.106812,0.669482,0.980568
visual_genome_m,siglip,bed,3.0,1,bed,2097.0,42.0,0.020029,0.00186,0.415989,0.36837,0.047619,0.050188,0.952381,0.095352,0.084081,0.622326,0.959518
visual_genome_m,siglip,bed,4.0,1,bed,2097.0,46.0,0.021936,0.00186,0.384001,0.362262,0.021739,0.057107,0.978261,0.107914,0.089108,0.779298,0.975176
visual_genome_m,siglip,bed,5.0,1,bed,2097.0,41.0,0.019552,0.00186,0.34679,0.34679,0.0,0.054377,1.0,0.103145,0.063301,0.660502,0.988706
visual_genome_m,siglip,bed,6.0,1,bed,2097.0,43.0,0.020505,0.00186,0.39716,0.373905,0.023256,0.051852,0.976744,0.098476,0.068046,0.773639,0.980039
visual_genome_m,siglip,bed,7.0,1,bed,2097.0,40.0,0.019075,0.00186,0.357803,0.357803,0.0,0.051546,1.0,0.098039,0.026252,0.716697,0.99526
visual_genome_m,siglip,bed,8.0,1,bed,2097.0,47.0,0.022413,0.00186,0.380301,0.359024,0.021277,0.058824,0.978723,0.110977,0.126082,0.726167,0.969289
visual_genome_m,siglip,bus,0.0,1,a bus,2097.0,67.0,0.03195,-0.024208,0.440835,0.396059,0.044776,0.073733,0.955224,0.136898,0.290287,0.674985,0.930755
visual_genome_m,siglip,bus,1.0,1,a bus,2097.0,59.0,0.028135,-0.024208,0.463773,0.395976,0.067797,0.063805,0.932203,0.119435,0.321418,0.574504,0.903495
visual_genome_m,siglip,bus,2.0,1,a bus,2097.0,70.0,0.033381,-0.024208,0.429163,0.400592,0.028571,0.077273,0.971429,0.143158,0.289379,0.637683,0.927853
visual_genome_m,siglip,bus,3.0,1,a bus,2097.0,63.0,0.030043,-0.024208,0.47893,0.415438,0.063492,0.065265,0.936508,0.122027,0.279674,0.649556,0.918684
visual_genome_m,siglip,bus,4.0,1,a bus,2097.0,70.0,0.033381,-0.024208,0.432596,0.389739,0.042857,0.07818,0.957143,0.144552,0.346867,0.663255,0.921707
visual_genome_m,siglip,bus,5.0,1,a bus,2097.0,73.0,0.034812,-0.024208,0.461415,0.406621,0.054795,0.077354,0.945205,0.143005,0.29073,0.666679,0.922052
