embedder,media_type,corpus,dataset,category,query,base,arm,delta,cluster
bge,text,20newsgroups,20newsgroups_l,sports,baseball games and athletic competition,0.701657,0.622057,-0.0796,20newsgroups|sports
bge,text,20newsgroups,20newsgroups_l,science,outer space exploration and astronomy,0.703353,0.652397,-0.050956,20newsgroups|science
bge,text,20newsgroups,20newsgroups_l,cars,automobiles and car reviews,0.499763,0.37013,-0.129633,20newsgroups|cars
bge,text,20newsgroups,20newsgroups_l,hockey,ice hockey games and NHL scores,0.857019,0.831541,-0.025478,20newsgroups|hockey
bge,text,20newsgroups,20newsgroups_l,electronics,electronic circuits and components,0.351417,0.263759,-0.08765799999999996,20newsgroups|electronics
bge,text,20newsgroups,20newsgroups_l,religion,christian faith and religious practice,0.721166,0.686018,-0.03514799999999996,20newsgroups|religion
bge,text,20newsgroups,20newsgroups_l,world,world politics and government affairs,0.177931,0.152969,-0.024962000000000012,20newsgroups|world
bge,text,20newsgroups,20newsgroups_l,business,buying and selling merchandise,0.185532,0.161645,-0.02388699999999999,20newsgroups|business
bge,text,20newsgroups,20newsgroups_l,technology,computer graphics and image rendering,0.71764,0.634901,-0.0827389999999999,20newsgroups|technology
bge,text,20newsgroups,20newsgroups_l,medicine,medical diseases and health treatments,0.489659,0.427607,-0.062051999999999996,20newsgroups|medicine
bge,text,20newsgroups,20newsgroups_l,crypto,cryptography and data encryption,0.798411,0.775667,-0.022743999999999986,20newsgroups|crypto
bge,text,20newsgroups,20newsgroups_l,atheism,atheism and arguments against religion,0.419234,0.406821,-0.012413000000000007,20newsgroups|atheism
bge,text,20newsgroups,20newsgroups_l,motorcycles,motorcycle riding and maintenance,0.557099,0.43763,-0.11946899999999999,20newsgroups|motorcycles
bge,text,20newsgroups,20newsgroups_l,mideast,middle east politics and conflict,0.77894,0.70525,-0.07368999999999992,20newsgroups|mideast
bge,text,20newsgroups,20newsgroups_l,guns,firearms and gun legislation,0.656338,0.626972,-0.029366000000000003,20newsgroups|guns
bge,text,20newsgroups,20newsgroups_m,sports,baseball games and athletic competition,0.724249,0.689107,-0.03514200000000001,20newsgroups|sports
bge,text,20newsgroups,20newsgroups_m,science,outer space exploration and astronomy,0.706297,0.640978,-0.0653189999999999,20newsgroups|science
bge,text,20newsgroups,20newsgroups_m,cars,automobiles and car reviews,0.574108,0.43517,-0.13893799999999995,20newsgroups|cars
bge,text,20newsgroups,20newsgroups_m,hockey,ice hockey games and NHL scores,0.813919,0.789167,-0.024751999999999996,20newsgroups|hockey
bge,text,20newsgroups,20newsgroups_m,electronics,electronic circuits and components,0.275425,0.192311,-0.08311399999999997,20newsgroups|electronics
bge,text,20newsgroups,20newsgroups_m,religion,christian faith and religious practice,0.710625,0.643255,-0.06736999999999993,20newsgroups|religion
